titleId	directors	writers
tt0022382	nm0616893,nm0925028	nm0485200,nm0809548,nm0394267,nm0368719,nm0533102
tt0022408	nm0224543	nm2517308,nm3969309
tt0022458	nm0003638	nm0003638,nm0280904,nm0880618
tt0022520	nm0188669	nm0881333,nm0886668
tt0022559	nm0245385	nm0629862,nm0778636
tt0022718	nm0719756	nm0268988,nm0719756,nm0884152
tt0022750	nm0782597	nm0671738,nm0850699
tt0022810	nm0831577	nm0062738,nm0445292,nm0770337
tt0022833	nm0124877	nm0121667,nm0189868
tt0022835	nm0541149	nm0388755,nm0372698,nm0829044
tt0022840	nm0640248	nm0236980
tt0022854	nm0113284	nm0547966,nm0695292,nm0780803
tt0022867	nm0532561	nm0394750,nm0394746,nm0462949,nm0532561
tt0022873	nm0064600	nm0933133,nm0186118
tt0022879	nm0097648	nm0322227,nm0308177,nm0002133,nm0821716
tt0022892	nm0397678	nm0186600,nm0823395
tt0022905	nm0001008	nm0001008,nm0842485
tt0022913	nm0115218	nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138
tt0022922	nm0412650	
tt0022958	nm0332539	nm0062139,nm0237033,nm0049462,nm0941138
tt0023006	nm0281487,nm0186276	
tt0023027	nm0572851	nm0436095,nm0748438,nm0673279,nm0426953,nm0790654
tt0023042	nm0503777	nm0122859,nm0337914,nm0391763,nm0316807
tt0023064	nm0712730	nm0405081
tt0023119	nm0247484,nm0066247	nm0178126,nm0163786,nm0622435,nm0066247,nm0321216
tt0023121	nm0128715	nm0122446,nm0001379,nm0715723
tt0023153	nm0293260	nm0663624,nm0842485
tt0023158	nm0541149	nm0388755,nm0547938,nm0950150,nm0545401,nm0035552
tt0023169	nm0314351	nm0067584,nm0381152,nm0519029,nm0522674,nm0545309
tt0023238	nm0774325,nm0681635	nm0187256,nm0175028
tt0023245	nm0005713	nm0701233,nm0770337,nm0049721
tt0023285	nm0000033	nm0267537,nm0720904,nm0000033,nm0010063
tt0023293	nm0001843	nm0697362,nm0506349,nm0792670
