titleId,titleType,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1319910,tvEpisode,Casualties of War,2005.0,,90.0,"Adventure,Drama,History",8.0,113
tt1653553,tvEpisode,Casualties of War,2010.0,,43.0,"Crime,Drama,Mystery",7.5,327
tt2079077,tvEpisode,Casualties of War,1986.0,,24.0,"Action,Animation,Drama",8.9,22
tt4292508,tvEpisode,Casualties of War,2015.0,,,Documentary,8.6,12
tt8420440,tvEpisode,Casualties of War,2018.0,,42.0,"Documentary,Drama,War",8.6,31
tt0059017,movie,Cat Ballou,1965.0,,97.0,"Comedy,Romance,Western",6.8,14258
tt0066638,tvMovie,Cat Ballou,1971.0,,,"Comedy,Western",6.6,59
tt0455378,tvMovie,Cat Ballou,1971.0,,30.0,"Comedy,Western",6.4,32
tt0097028,movie,Cat Chaser,1989.0,,90.0,"Crime,Drama,Thriller",5.2,1259
tt0034587,movie,Cat People,1942.0,,73.0,"Fantasy,Horror,Thriller",7.3,21237
tt0083722,movie,Cat People,1982.0,,118.0,"Fantasy,Horror,Thriller",6.2,20153
tt14818454,tvSeries,Cat People,2021.0,,,Documentary,6.3,204
tt1744946,tvEpisode,Cat People,2007.0,,,Documentary,6.8,35
tt8106136,tvEpisode,Cat People,2019.0,,23.0,"Comedy,Drama",7.3,117
tt8237438,tvEpisode,Cat People,2018.0,,43.0,"Crime,Drama,Mystery",6.8,21
tt8902504,movie,Cat People,2019.0,,63.0,"Comedy,Documentary,Drama",6.0,19
tt0385586,short,Nekojiru-sô,2001.0,,34.0,"Animation,Comedy,Fantasy",7.6,5064
tt1518552,tvEpisode,Cat Soup,2008.0,,,"Comedy,Family,Fantasy",7.5,20
tt0429746,tvSpecial,Cat Stevens: Majikat,2004.0,,135.0,Music,8.4,121
tt0060583,movie,Katz und Maus,1967.0,,92.0,"Drama,War",6.2,124
tt0072776,movie,Le chat et la souris,1975.0,,108.0,"Comedy,Crime,Drama",6.6,409
tt0366720,movie,Lou she oi sheung mao,2003.0,,92.0,"Action,Comedy,Romance",5.2,490
tt0517996,tvEpisode,Cat and Mouse,2001.0,,47.0,"Crime,Drama",8.2,34
tt0544493,tvEpisode,Cat and Mouse,1962.0,,,"Action,Drama,War",9.0,104
tt0553282,tvEpisode,Cat and Mouse,1987.0,,47.0,"Drama,Romance",7.2,81
tt0589609,tvEpisode,Cat and Mouse,1998.0,,21.0,"Action,Animation,Crime",6.8,45
tt0624188,tvEpisode,Cat and Mouse,1999.0,,43.0,"Action,Drama,Romance",8.4,64
tt0713427,tvEpisode,Cat and Mouse,1992.0,,21.0,"Adventure,Fantasy,Sci-Fi",6.7,18
tt0734704,tvEpisode,Cat and Mouse,1989.0,,,"Drama,Fantasy,Horror",6.3,208
tt0740805,tvEpisode,Cat and Mouse,1997.0,,,"Action,Adventure,Crime",6.1,12
tt0850752,tvEpisode,Cat and Mouse,1993.0,,25.0,"Crime,Drama",7.7,26
tt11328526,tvEpisode,Cat and Mouse,2019.0,,66.0,"Crime,Documentary",8.4,1350
tt1202959,tvEpisode,Cat and Mouse,1999.0,,50.0,"Biography,Crime,Documentary",7.4,33
tt12404850,tvEpisode,Cat and Mouse,2020.0,,,"Action,Crime",4.1,17
tt14200844,tvEpisode,Cat and Mouse,2021.0,,212.0,"Adventure,Fantasy",8.1,11
tt15380584,tvEpisode,Cat and Mouse,2021.0,,38.0,,7.9,24
tt1558192,tvEpisode,Cat and Mouse,2010.0,,21.0,"Action,Adventure,Animation",7.6,2296
tt2257329,tvEpisode,Cat and Mouse,2012.0,,45.0,"Crime,Drama,Fantasy",8.6,1077
tt2431766,tvEpisode,Cat and Mouse,2012.0,,27.0,"Adventure,Comedy,Drama",8.4,5
tt3121414,tvEpisode,Cat and Mouse,2014.0,,41.0,"Comedy,Drama,Romance",7.6,6
tt3433266,tvEpisode,Cat and Mouse,2013.0,,22.0,"Crime,Documentary,Mystery",7.6,7
tt3675798,tvEpisode,Cat and Mouse,2014.0,,42.0,"Drama,Horror,Romance",8.8,514
tt3694002,movie,Cat and Mouse,2015.0,,90.0,Drama,5.2,19
tt3727294,tvEpisode,Cat and Mouse,2014.0,,44.0,"Drama,Fantasy,Horror",7.9,326
tt0051459,movie,Cat on a Hot Tin Roof,1958.0,,108.0,Drama,8.0,47319
tt0074295,tvMovie,Cat on a Hot Tin Roof,1976.0,,100.0,Drama,7.1,299
tt0088888,tvMovie,Cat on a Hot Tin Roof,1984.0,,144.0,Drama,6.7,542
tt7510284,movie,National Theatre Live: Cat on a Hot Tin Roof,2018.0,,185.0,Drama,7.6,243
tt0045609,movie,Cat-Women of the Moon,1953.0,,64.0,"Adventure,Sci-Fi",4.0,1749
tt0567405,tvEpisode,Catch 22,1989.0,,49.0,"Drama,Romance",7.9,85
tt1927351,tvEpisode,Catch 22,2007.0,,22.0,"Crime,Documentary",6.9,73
tt7302900,short,Catch 22,2018.0,,11.0,"Mystery,Sci-Fi,Short",6.2,6
tt0097029,movie,Catch Me If You Can,1989.0,,106.0,"Action,Comedy,Drama",6.1,610
tt0175733,tvMovie,Catch Me If You Can,1998.0,,120.0,"Action,Comedy,Crime",4.6,169
